edible,fit to be eaten/not poisonous
eradicate,get rid of pull up by the roots
perjury,willful FALSE statement unlawful act
fission,splitting or division (esp. of cells)
dupe,cheat make a fool of
stride,walk with long steps
gait,a manner of walking, stepping, or running"
dormant,in a state of inactivity but awaiting development
cordial,warm and sincere
scent,smell (especially pleasant)
agile,active; quick-moving
relapse,fall back again
audacious,Bold
arcane,known or understood by very few
ascend,go or come up
repulsive,causing a feeling of disgust
extralegal,outside the law
cumbersome,burdensome; heavy and awkward to carry
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
complaisant,trying to please; obliging
dullard,a stupid, insensitive person"
introspection,examining one's own thoughts and feelings
recitals,a number of performance of music
disrobe,undress
edify,instruct; correct morally
pluck,pull the feathers off pick (e.g.. flowers)
lampoon,publicly mock or ridicule
aggravate,make worse; irritate
opaqueness,dullness/not allowing light to pass through
chisel,steel tool for shaping materials
hospitable,liking to give hospitality
fleet,number of ships; quick-moving
jabber,talk excitedly; utter rapidly
sobriety,quality or condition of being sober
spear,weapon with a metal point on a long shaft
anguish,severe suffering
incongruous,out of place; not in harmony or agreement
introvert,one who turns towards himself
console,give comfort or sympathy to
misogynist,one who hates women/females
acumen,Keen, quick, accurate insight or judgment"
indigenous,native
ossified,turned to bone; hardened like bone; Inflexible
misanthrope,person who hates mankind
bogus,sham; counterfeit; not genuine
grievous,causing grief or pain; serious dire grave
riddle,puzzling person or thing
beguile,mislead or delude; cheat; pass time
braggart,boastful
judicious,sound in judgment; wise
luminary,star; light-giving body
indulgent,inclined to indulge
inclined,directing the mind in a certain direction
malleable,yielding easily shaped; moldable; adapting
centurion,leader of a unit of 100 soldiers
gullible,easily gulled
foster,nurture; care for
adorn,add beauty; decorate
weigh,measure how heavy something is
enigma,something that is puzzling
dexterity,skill (esp. in handling)
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
clot,half-solid lump formed from liquid
disproof,proof to the contrary
mesmerize,hypnotize
evoke,call up bring out
turbulence,being uncontrollably violent
impermeable,that cannot be permeated
grumble,to complain
endeavor,to make an effort, to try very hard"
disallow,refuse to allow or accept as a correct
alleviate,make (pain) easier to bear
warrant,authority written order guarantee
odor,smell
resuscitation,coming back to consciousness
fragile,easily injured broken or destroyed
flop,fail/move/fall clumsily
tadpole,form of a frog when it leaves the egg
presentiment,anticipatory fear; premonition
apartheid,brutal racial discrimination
heterogeneous,made up of different kinds
constrict,make tight or smaller
derivative,unoriginal; obtained from another source
permeate,spread into every part of
entice,attract, lure"
premature,doing or happening something before the right time
drowsiness,feeling sleepy half asleep
poseur,a person who attempts to impress by acting unlike himself
appease,make quiet or calm
suffice,be enough
amalgamate,mix; combine; unite societies
